id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
43275481,Modern apartment in villa neighbourhood,344484474,Farzaneh,,Rinkeby-Tensta,59.41689,17.95588,Entire home/apt,450,90,0,,,1,82,0,
43332340,An Exclusive Penthouse with spectacular view,22876006,Hedvig,,Östermalms,59.32257,18.09906,Entire home/apt,2720,4,37,2022-09-18,2.41,73,39,36,
43357407,"20m from metro, sunny balcony & quiet park view",92706594,E,,Rinkeby-Tensta,59.40752,17.92685,Entire home/apt,700,7,1,2021-09-19,0.08,1,358,0,
43378853,Family flat close to Skanstull,22876006,Hedvig,,Enskede-Årsta-Vantörs,59.29691,18.0854,Entire home/apt,1475,3,46,2022-09-18,1.67,73,336,25,
43393720,Beautiful apartment in Stockholm/Vasastan,345752234,Matilda,,Norrmalms,59.34274,18.04643,Entire home/apt,1000,14,2,2022-08-07,0.38,1,0,2,
43407782,Modern and comfortable Central City apartment,9066926,Egle,,Norrmalms,59.33392,18.0532,Entire home/apt,1639,20,1,2020-07-18,0.04,1,0,0,
43410478,3. Two Room Old Town,325886610,Old Town Studio,,Södermalms,59.32384,18.07062,Entire home/apt,998,1,161,2022-09-10,5.63,4,299,78,
43420679,Great house by the sea - very close to city center,111886265,Erik,,Kungsholmens,59.31754,17.98213,Entire home/apt,3900,7,2,2022-07-30,0.15,1,85,1,
43428484,Cosy apartment in central Sundbyberg,28676237,Björn,,Bromma,59.36455,17.96478,Entire home/apt,1000,15,0,,,1,94,0,
43429966,Double Studio Solna,26137721,Second Home Apartments,,Kungsholmens,59.35274,18.00842,Entire home/apt,1250,4,8,2022-08-11,0.29,11,343,5,
43474079,2 Bedroom Apartment,362541894,ApartDirect,,Södermalms,59.32462,18.06923,Entire home/apt,3011,2,29,2022-09-05,1.30,20,302,27,
43480957,Fin lägenhet i lugnet villaområde,102706761,Karina,,Älvsjö,59.25855,17.98247,Entire home/apt,1350,7,3,2020-12-21,0.11,2,179,0,
43481233,Trendy Södermalm apt w/ everything you need!,14233450,Neggi,,Södermalms,59.31331,18.06829,Entire home/apt,950,3,18,2022-08-07,0.66,1,2,7,
43481330,Lägenhet i lugnt villaområde,102706761,Karina,,Älvsjö,59.2585,17.98258,Entire home/apt,1200,7,8,2022-08-29,0.67,2,153,8,
43495438,Nice Apartment In Stockholm,165519410,Christoffer,,Enskede-Årsta-Vantörs,59.29174,18.03327,Entire home/apt,750,1,0,,,1,0,0,
43523223,High Ceiling / Open Space Flat in Gamla Stan,51002540,Fredrik,,Södermalms,59.32346,18.06801,Entire home/apt,1945,5,107,2022-09-15,3.79,20,159,52,
43532128,Jugend apartement in Vasastan,347427261,Camilla,,Norrmalms,59.34461,18.03719,Entire home/apt,2000,3,7,2022-08-06,0.42,1,14,6,
43546388,Lustiga huset i Hökarängen!,67355594,Pernilla,,Farsta,59.25845,18.091089,Private room,400,3,1,2022-08-10,0.65,1,363,1,
43550741,One bedroom apartment near globen and tele2 arena,40000011,Mireille,,Enskede-Årsta-Vantörs,59.29688,18.07194,Entire home/apt,1000,4,3,2022-06-18,0.13,2,178,2,
43551070,Old town Stockholm,256875714,Caroline,,Södermalms,59.32271,18.07002,Entire home/apt,1657,4,63,2022-08-26,2.70,1,8,38,
43553282,Fin lägenhet med stor privat terrass i soligt läge,80629019,Rutger,,Hägersten-Liljeholmens,59.30148475594163,17.99862270353711,Entire home/apt,1200,3,2,2022-08-25,1.46,1,349,2,
43558156,"Riddersviks Herrgård, Enkelrum",341848554,Marcus,,Hässelby-Vällingby,59.37942,17.79917,Private room,1191,1,0,,,5,175,0,
43558227,"Riddersviks Herrgård, Dubbelrum",341848554,Marcus,,Hässelby-Vällingby,59.38007,17.79731,Private room,1811,1,1,2021-01-01,0.05,5,176,0,
43558261,"Riddersviks Herrgård, Svit",341848554,Marcus,,Hässelby-Vällingby,59.37899,17.79762,Private room,2214,1,1,2021-04-04,0.06,5,175,0,
43625651,Idyllic cottage on island 20 min from Stockholm,6822084,Emma,,Östermalms,59.37489,18.07878,Entire home/apt,1200,4,52,2022-09-10,1.91,2,128,17,
43649385,Mysig etta vid Mariatorget,175840504,Beatrice,,Södermalms,59.31529,18.06618,Entire home/apt,800,1,1,2022-04-18,0.19,1,0,1,
43658553,Modern 2 bedroom apartment close to “everything”,917067,Niklas,,Östermalms,59.33787,18.10047,Entire home/apt,2240,7,0,,,1,0,0,
43667299,"Cosy & light 2 bedroom apartment in SoFo, 60sqm",240767680,Julius Apartment,,Södermalms,59.3132,18.08125,Entire home/apt,1380,2,14,2022-05-01,0.52,11,0,10,
43671367,Midsommar in Söderlmalm,313109193,Lorenzo,,Södermalms,59.31216,18.08024,Private room,350,1,0,,,2,0,0,
43679908,"Stylish & light 2 room apartment in SoFo, 60sqm",240767680,Julius Apartment,,Södermalms,59.3132,18.08125,Entire home/apt,1380,2,21,2021-12-29,0.78,11,0,3,
43683770,"Stockholm apartament, near to Globen/Tele2 & tram",311778372,CC Living,,Skarpnäcks,59.29617,18.09119,Entire home/apt,952,2,54,2022-09-11,1.93,19,167,40,
43684182,"Stockholm Apartment, Hammarbyhöjden, near to tram",311778372,CC Living,,Skarpnäcks,59.29789,18.10504,Entire home/apt,967,2,52,2022-08-17,1.88,19,80,33,
43689653,Clean & cozy city apartment close to restaurants,62718239,Julia,,Norrmalms,59.34334,18.03626,Entire home/apt,1171,3,7,2022-09-22,1.02,1,9,7,
43691942,Centralt boende nära city,345835168,Yasemin,,Kungsholmens,59.35325,18.00499,Private room,771,1,11,2022-08-31,0.44,1,59,10,
43697419,5 person holiday home in BROMMA,274757237,Elsa - DANCENTER,,Bromma,59.3485,17.91065,Entire home/apt,1694,1,0,,,3,365,0,
43705448,"Stor renoverad villa, fin trädgård med jacuzzi!",175126319,Lina,,Hässelby-Vällingby,59.36257,17.88724,Entire home/apt,1250,7,1,2021-07-24,0.07,1,0,0,
43741135,"Snygg lägenhet med milsvida utsikt, två balkonger",107657021,Emelie,,Hägersten-Liljeholmens,59.29751,18.00493,Entire home/apt,600,2,4,2021-08-08,0.19,1,0,0,
43789177,"Spacious, bright and green one bedroom apartment",21247692,Camilla,,Farsta,59.25568,18.08513,Entire home/apt,550,14,6,2022-07-20,0.23,1,0,3,
43803589,"Vackert 20-tals hus mitt i Bromma, Stockholm",116423693,Fredrik,,Bromma,59.32683,17.93972,Entire home/apt,2500,14,3,2022-08-13,0.11,1,49,1,
43809637,Mysig och ljus lägenhet i Årsta,27658410,Gabriel,,Enskede-Årsta-Vantörs,59.29565,18.05823,Entire home/apt,850,3,12,2022-09-05,2.43,1,15,12,
43825554,Beautiful rooftop apartment,12141417,Anna,,Södermalms,59.30971,18.08789,Private room,600,6,36,2022-08-30,1.37,1,0,16,
43830509,Room close to central Stockholm,350542380,Dino,,Bromma,59.35094,17.99045,Private room,350,15,8,2022-09-13,0.30,1,347,3,
43841924,Cozy Scandinavian Studio in Södermalm,51002540,Fredrik,,Södermalms,59.3125,18.09644,Entire home/apt,989,3,40,2022-09-19,2.20,20,0,23,
43865752,Minutes walk from great nature reserve and Lake,119901597,Johan,,Skarpnäcks,59.26108,18.19494,Entire home/apt,1350,5,7,2022-08-02,0.26,1,53,3,
43866181,Modern apartment great location in Old Town,138352126,Emmy,,Södermalms,59.32352,18.07159,Entire home/apt,1500,4,7,2022-07-28,0.26,1,0,2,
43871173,"Room in Kista close to ""Kista Galleria""",44417242,Josef,,Rinkeby-Tensta,59.40774,17.94082,Private room,350,1,0,,,1,0,0,
43877320,On the heart of Stockholm with a cat flatmate,51251030,Uğur,,Södermalms,59.30831,18.07467,Entire home/apt,700,30,0,,,1,0,0,
